weight_svm,weight_bert,threshold,pr_auc,roc_auc,fraud_precision,fraud_recall,fraud_f1,confusion_matrix
0.7000000000000001,0.29999999999999993,0.65,0.8589267224230894,0.9533164360490075,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.65,0.35,0.62,0.8582107819992105,0.9533948680690862,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.65,0.35,0.63,0.8582107819992105,0.9533948680690862,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.65,0.35,0.64,0.8582107819992105,0.9533948680690862,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.8,0.19999999999999996,0.66,0.8564835184215155,0.9529490439549552,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.8500000000000001,0.1499999999999999,0.63,0.8540355908275653,0.9527839239126845,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.8500000000000001,0.1499999999999999,0.64,0.8540355908275653,0.9527839239126845,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.9,0.09999999999999998,0.61,0.8511832438481619,0.9525651398566757,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.9500000000000001,0.04999999999999993,0.59,0.8473760752461859,0.9522885637858722,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
0.7000000000000001,0.29999999999999993,0.49,0.8589267224230894,0.9533164360490075,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.7000000000000001,0.29999999999999993,0.5,0.8589267224230894,0.9533164360490075,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.7000000000000001,0.29999999999999993,0.51,0.8589267224230894,0.9533164360490075,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.7000000000000001,0.29999999999999993,0.52,0.8589267224230894,0.9533164360490075,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.7000000000000001,0.29999999999999993,0.53,0.8589267224230894,0.9533164360490075,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.7000000000000001,0.29999999999999993,0.54,0.8589267224230894,0.9533164360490075,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.7000000000000001,0.29999999999999993,0.55,0.8589267224230894,0.9533164360490075,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.65,0.35,0.52,0.8582107819992105,0.9533948680690862,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.65,0.35,0.53,0.8582107819992105,0.9533948680690862,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.65,0.35,0.54,0.8582107819992105,0.9533948680690862,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.65,0.35,0.55,0.8582107819992105,0.9533948680690862,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.65,0.35,0.56,0.8582107819992105,0.9533948680690862,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.45,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.46,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.47000000000000003,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.48000000000000004,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.49,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.5,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.51,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.75,0.25,0.52,0.8581770698911212,0.9531471880056801,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.8,0.19999999999999996,0.48000000000000004,0.8564835184215155,0.9529490439549552,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.8,0.19999999999999996,0.49,0.8564835184215155,0.9529490439549552,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.0,1.0,0.99,0.8278583289556997,0.9641379908193257,0.8977272727272727,0.7383177570093458,0.8102564102564103,"{'tn': 2255, 'fp': 9, 'fn': 28, 'tp': 79}"
0.05,0.95,0.85,0.8613399573888793,0.9599872857567451,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.15000000000000002,0.85,0.77,0.8599738852870242,0.9570522770053829,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.15000000000000002,0.85,0.78,0.8599738852870242,0.9570522770053829,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.2,0.8,0.73,0.8595928812339823,0.9563133648162213,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.2,0.8,0.74,0.8595928812339823,0.9563133648162213,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.2,0.8,0.75,0.8595928812339823,0.9563133648162213,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.25,0.75,0.72,0.8594854262863598,0.9558221326904659,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.8,0.19999999999999996,0.37,0.8564835184215155,0.9529490439549552,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.0,1.0,0.89,0.8278583289556997,0.9641379908193257,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.0,1.0,0.9,0.8278583289556997,0.9641379908193257,0.8709677419354839,0.7570093457943925,0.81,"{'tn': 2252, 'fp': 12, 'fn': 26, 'tp': 81}"
0.8500000000000001,0.1499999999999999,0.31,0.8540355908275653,0.9527839239126845,0.8469387755102041,0.7757009345794392,0.8097560975609757,"{'tn': 2249, 'fp': 15, 'fn': 24, 'tp': 83}"
0.8500000000000001,0.1499999999999999,0.32,0.8540355908275653,0.9527839239126845,0.8469387755102041,0.7757009345794392,0.8097560975609757,"{'tn': 2249, 'fp': 15, 'fn': 24, 'tp': 83}"
